symbol,name,industry,tier
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY 50
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,NIFTY 50
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,NIFTY 50
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,NIFTY 50
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY 50
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,NIFTY 50
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,NIFTY 50
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,NIFTY 50
BEL,Bharat Electronics Ltd.,Capital Goods,NIFTY 50
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,NIFTY 50
CIPLA,Cipla Ltd.,Healthcare,NIFTY 50
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,NIFTY 50
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,NIFTY 50
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,NIFTY 50
ETERNAL,Eternal Ltd.,Consumer Services,NIFTY 50
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY 50
HCLTECH,HCL Technologies Ltd.,Information Technology,NIFTY 50
HDFCBANK,HDFC Bank Ltd.,Financial Services,NIFTY 50
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,NIFTY 50
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,NIFTY 50
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,NIFTY 50
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,NIFTY 50
ICICIBANK,ICICI Bank Ltd.,Financial Services,NIFTY 50
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,NIFTY 50
INFY,Infosys Ltd.,Information Technology,NIFTY 50
ITC,ITC Ltd.,Fast Moving Consumer Goods,NIFTY 50
JIOFIN,Jio Financial Services Ltd.,Financial Services,NIFTY 50
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,NIFTY 50
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,NIFTY 50
LT,Larsen & Toubro Ltd.,Construction,NIFTY 50
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,NIFTY 50
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,NIFTY 50
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,NIFTY 50
NTPC,NTPC Ltd.,Power,NIFTY 50
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY 50
POWERGRID,Power Grid Corporation of India Ltd.,Power,NIFTY 50
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,NIFTY 50
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY 50
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,NIFTY 50
SBIN,State Bank of India,Financial Services,NIFTY 50
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,NIFTY 50
TCS,Tata Consultancy Services Ltd.,Information Technology,NIFTY 50
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTY 50
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components,NIFTY 50
TATASTEEL,Tata Steel Ltd.,Metals & Mining,NIFTY 50
TECHM,Tech Mahindra Ltd.,Information Technology,NIFTY 50
TITAN,Titan Company Ltd.,Consumer Durables,NIFTY 50
TRENT,Trent Ltd.,Consumer Services,NIFTY 50
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,NIFTY 50
WIPRO,Wipro Ltd.,Information Technology,NIFTY 50
ABB,ABB India Ltd.,Capital Goods,NIFTY 100
ADANIENSOL,Adani Energy Solutions Ltd.,Power,NIFTY 100
ADANIGREEN,Adani Green Energy Ltd.,Power,NIFTY 100
ADANIPOWER,Adani Power Ltd.,Power,NIFTY 100
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,NIFTY 100
DMART,Avenue Supermarts Ltd.,Consumer Services,NIFTY 100
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,NIFTY 100
BANKBARODA,Bank of Baroda,Financial Services,NIFTY 100
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY 100
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,NIFTY 100
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,NIFTY 100
CANBK,Canara Bank,Financial Services,NIFTY 100
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,NIFTY 100
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,NIFTY 100
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,NIFTY 100
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,NIFTY 100
DLF,DLF Ltd.,Realty,NIFTY 100
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,NIFTY 100
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTY 100
HAVELLS,Havells India Ltd.,Consumer Durables,NIFTY 100
HAL,Hindustan Aeronautics Ltd.,Capital Goods,NIFTY 100
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,NIFTY 100
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,NIFTY 100
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,NIFTY 100
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,NIFTY 100
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY 100
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,NIFTY 100
NAUKRI,Info Edge (India) Ltd.,Consumer Services,NIFTY 100
INDIGO,InterGlobe Aviation Ltd.,Services,NIFTY 100
JSWENERGY,JSW Energy Ltd.,Power,NIFTY 100
LTIM,LTIMindtree Ltd.,Information Technology,NIFTY 100
LICI,Life Insurance Corporation of India,Financial Services,NIFTY 100
LODHA,Macrotech Developers Ltd.,Realty,NIFTY 100
MANKIND,Mankind Pharma Ltd.,Healthcare,NIFTY 100
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,NIFTY 100
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,NIFTY 100
PIDILITIND,Pidilite Industries Ltd.,Chemicals,NIFTY 100
PFC,Power Finance Corporation Ltd.,Financial Services,NIFTY 100
PNB,Punjab National Bank,Financial Services,NIFTY 100
RECLTD,REC Ltd.,Financial Services,NIFTY 100
SIEMENS,Siemens Ltd.,Capital Goods,NIFTY 100
SOLARINDS,Solar Industries India Ltd.,Chemicals,NIFTY 100
SWIGGY,Swiggy Ltd.,Consumer Services,NIFTY 100
TATAPOWER,Tata Power Co. Ltd.,Power,NIFTY 100
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,NIFTY 100
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,NIFTY 100
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,NIFTY 100
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,NIFTY 100
VEDL,Vedanta Ltd.,Metals & Mining,NIFTY 100
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,NIFTY 100
ACC,ACC Ltd.,Construction Materials,NIFTY 200
ALKEM,Alkem Laboratories Ltd.,Healthcare,NIFTY 200
APLAPOLLO,APL Apollo Tubes Ltd.,Metals & Mining,NIFTY 200
ASHOKLEY,Ashok Leyland Ltd.,Automobile and Auto Components,NIFTY 200
ASTRAL,Astral Ltd.,Capital Goods,NIFTY 200
AUBANK,AU Small Finance Bank Ltd.,Financial Services,NIFTY 200
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,NIFTY 200
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,NIFTY 200
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,NIFTY 200
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,NIFTY 200
BIOCON,Biocon Ltd.,Healthcare,NIFTY 200
COFORGE,Coforge Ltd.,Information Technology,NIFTY 200
COLPAL,Colgate-Palmolive (India) Ltd.,Fast Moving Consumer Goods,NIFTY 200
CONCOR,Container Corporation of India Ltd.,Services,NIFTY 200
CUMMINSIND,Cummins India Ltd.,Capital Goods,NIFTY 200
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,NIFTY 200
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,NIFTY 200
ESCORTS,Escorts Kubota Ltd.,Capital Goods,NIFTY 200
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,NIFTY 200
